﻿Title:,"Table 11 - Head of provider remuneration"
Subtitle:,"Academic years 2016/17 to 2021/22"
Reference ID:,DT031 Table 11
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2021/22 
,Head of provider,Head of provider at financial year end 
,Financial Year End,All 
Search:,


"","","","","","","(£000s)","","",""
"UKPRN","HE Provider","Financial Year End","Start date of service in head of provider role (YYYY-MM-DD)","End date of service in head of provider role (YYYY-MM-DD)","Total remuneration (before salary sacrifice)","Head of the provider's basic salary divided by the median pay (salary)","Head of the provider's total remuneration divided by the median total remuneration."
"10007843","St Mary's University, Twickenham","2022-07-31","20200420","","298","5.9","6.8"
"10007156","The University of Salford","2022-07-31","20131103","","224","6.2","5.5"
"10021256","The Salvation Army","2022-03-31","20180803","","31","0.5","0.6"
"10007780","SOAS University of London","2022-07-31","20210101","","324","5.5","6.2"
"10005700","SRUC","2022-07-31","20160701","","262","6.5","7.2"
"10005790","Sheffield Hallam University","2022-07-31","20160101","","261","7.1","7.4"
"10007157","The University of Sheffield","2022-07-31","20181101","","386","8.8","9.4"
"10023458","The Sherwood Psychotherapy Training Institute Limited","2021-08-31","20090901","","39","2.2","2.0"
"10006022","Solent University","2022-07-31","20200201","","221","6.1","5.6"
"10007158","The University of Southampton","2022-07-31","20191001","","353","9.4","9.6"
"10006299","Staffordshire University","2022-07-31","20220101","","154","5.8","5.8"
"10008098","Study Group","2021-12-31","20200101","20211231","209","4.6","6.4"
"10007804","The University of Stirling","2022-07-31","20100501","","321","6.5","6.6"
"10037449","University of St Mark and St John","2022-07-31","20170301","","259","8.4","8.7"
"10008010","Stranmillis University College","2022-07-31","20210920","","111","3.8","3.9"
"10007805","The University of Strathclyde","2022-07-31","20090301","","389","8.6","8.6"
"10014001","University of Suffolk","2022-07-31","20180601","","244","6.0","7.5"
"10007159","The University of Sunderland","2022-07-31","20180924","","307","8.3","8.8"
"10007160","The University of Surrey","2022-07-31","20160425","","383","7.4","7.8"
"10007806","The University of Sussex","2022-07-31","20211101","20220731","230","6.7","5.3"
"10007855","Swansea University","2022-07-31","20190726","","329","8.6","8.6"
"10020381","Tavistock and Portman NHS Foundation Trust","2022-03-31","20200401","20220331","119","3.6","4.1"
"10083403","The Engineering and Design Institute London","2022-07-31","20210701","","243","3.5","3.9"
"10007161","Teesside University","2022-07-31","20150501","","312","7.4","7.7"
"10082743","ThinkSpace Education Limited","2022-07-31","20181101","","97","0.3","2.0"
"10008017","Trinity Laban Conservatoire of Music and Dance","2022-07-31","20100801","","235","5.3","5.7"
"10007858","University of Wales Trinity Saint David","2022-07-31","20000901","","297","6.8","6.9"
"10067648","University Academy 92 Limited","2022-07-31","20210501","","198","3.3","4.3"
"10007114","University of the Highlands and Islands","2022-07-31","20210101","","256","5.7","5.7"
"10007807","Ulster University","2022-07-31","20200301","","307","5.8","6.0"
"10007784","University College London","2022-07-31","20210111","","495","8.4","9.5"
"10007793","University of South Wales","2022-07-31","20211001","","211","5.1","5.9"
"10008574","The University of Wales (central functions)","2022-07-31","","","0","0.0","0.0"
"10007163","The University of Warwick","2022-07-31","20160201","","372","10.9","10.6"
"10007361","Waverley Abbey College","2021-08-31","20170801","","55","2.2","2.2"
"10007164","University of the West of England, Bristol","2022-07-31","19951120","","296","7.9","8.8"
"10007800","The University of the West of Scotland","2022-07-31","20220301","20221031","132","4.6","5.4"
"10032288","West Dean College","2021-09-30","20150711","","160","5.5","6.2"
"10006566","The University of West London","2022-07-31","20070702","","407","8.4","8.4"
"10007165","The University of Westminster","2022-07-31","20180501","","250","5.8","4.7"
"10003614","The University of Winchester","2022-07-31","20220104","","157","5.8","5.9"
"10007166","The University of Wolverhampton","2022-07-31","20211201","","213","9.4","9.4"
"10007139","University of Worcester","2022-07-31","20030101","","325","11.3","10.0"
"10007657","Writtle University College","2022-07-31","20170801","","145","4.3","4.7"
"10007713","York St John University","2022-07-31","20200401","","235","5.9","5.9"
"10007167","The University of York","2022-07-31","20190901","","289","9.8","9.4"
