﻿Title:,"Table 11 - Head of provider remuneration"
Subtitle:,"Academic years 2016/17 to 2021/22"
Reference ID:,DT031 Table 11
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
,Head of provider,Head of provider at financial year end 
,Financial Year End,All 
Search:,


"","","","","","","(£000s)","","",""
"UKPRN","HE Provider","Financial Year End","Start date of service in head of provider role (YYYY-MM-DD)","End date of service in head of provider role (YYYY-MM-DD)","Total remuneration (before salary sacrifice)","Head of the provider's basic salary divided by the median pay (salary)","Head of the provider's total remuneration divided by the median total remuneration."
"10015506","The London College","2021-07-31","","","283","7.5","7.5"
"10004048","London Metropolitan University","2021-07-31","","","289","6.6","7.3"
"10032594","London School of Academics Ltd","2021-03-31","","","186","0.3","6.8"
"10004078","London South Bank University","2021-07-31","","","317","6.1","6.9"
"10004063","London School of Economics and Political Science","2021-07-31","","","486","10.8","11.5"
"10007771","London School of Hygiene and Tropical Medicine","2021-07-31","","","0","0.0","0.0"
"10022285","London School of Management Education","2020-08-31","","","134","2.0","5.3"
"10004075","London School of Theology","2020-08-31","","","52","2.5","2.5"
"10004079","London Studio Centre","2020-08-31","","","184","4.5","4.6"
"10062810","The London School of Architecture","2021-06-30","","","3","1.4","1.4"
"10008289","The London Institute of Banking & Finance","2021-07-31","","","211","6.2","6.7"
"10004035","The Film Education Training Trust Limited","2021-01-31","","","243","2.5","3.8"
"10067623","The London Interdisciplinary School Ltd","2021-07-31","","","86","1.7","1.7"
"10004113","Loughborough University","2021-07-31","","","0","0.0","0.0"
"10009612","Luther King House Educational Trust","2020-08-31","","","49","2.0","2.0"
"10004180","The Manchester Metropolitan University","2021-07-31","","","340","7.7","8.1"
"10007798","The University of Manchester","2021-07-31","","","258","10.6","9.9"
"10009527","Istituto Marangoni Limited","2021-06-30","","","0","0.0","0.0"
"10023452","The Markfield Institute of Higher Education","2020-12-31","","","47","1.7","1.8"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","2020-08-31","","","51","0.0","0.0"
"10020416","Missio Dei","2021-06-30","","","14","1.2","1.2"
"10030776","St Mellitus College","2021-07-31","","","51","1.4","1.6"
